ID,Name,Price_HUF,Registration_date,Age,Color,Cylinder_capacity_cm3,Transmission,Performance_HP,Performance_kW,Nr_pictures,Condition,Fuel_type,Kilometers,Link
165,HONDA CIVIC 1.4 Comfort 8 kerék,3695000,2014,6.416000000000167,Narancs (metál),1339,Manuális,99,73,12,Újszerű,Benzin,62900,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_8_kerek-16395367
166,HONDA CIVIC 1.4 Comfort,3650000,2015,4.916000000000167,Ezüst (metál),1339,Manuális,99,73,5,Kitűnő,Benzin,105000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16555421
167,HONDA CIVIC 2.0 Type-R Championship,3600000,2010,10.583000000000084,Fehér,1998,Manuális,201,148,6,Újszerű,Benzin,225000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_2_0_type-r_championship-16425193
168,HONDA CIVIC 1.6 i-DTEC Elegance Navi 1 tulaj. sérülésmentes. szervizkönyves,3579000,2016,4.666000000000167,Ezüst (metál),1597,Manuális,120,88,12,Kitűnő,Dízel,172554,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_i-dtec_elegance_navi_1_tulaj_serulesmentes_szervizkonyves-16487605
169,HONDA CIVIC 1.4 Comfort,3500000,2012,8.583000000000084,Barna (metál),1339,Manuális,99,73,6,Kitűnő,Benzin,30000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16537689
170,HONDA CIVIC 1.4 Comfort 66ezer km.. szervizkönyv. 2 garnitúra alufelni,3499000,2013,7.083000000000084,null,1339,Manuális,99,73,12,Kitűnő,Benzin,66100,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_66ezer_km_szervizkonyv_2_garnitura_alufelni-16565117
171,HONDA CIVIC 1.4 Comfort Sport csomag,3460000,2014,6.416000000000167,Ezüst (metál),1339,Manuális,99,73,12,Kitűnő,Benzin,88312,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_sport_csomag-16034928
172,HONDA CIVIC 1.4 Comfort Plus Gyöngyházfehér!!!,3490000,2014,6.583000000000084,Fehér,1339,Manuális,99,73,5,Kitűnő,Benzin,70100,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_plus_gyongyhazfeher-16546561
173,HONDA CIVIC 2.2 CTDi Executive,3490000,2012,8.166000000000167,null,2199,Manuális,150,110,6,Kitűnő,Dízel,42000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_2_2_ctdi_executive-16553975
174,HONDA CIVIC 1.8 Sport TEMPOMAT-TOLATÓKAMERA-93 000 KM !!,3480000,2013,7.166000000000167,Ezüst (metál),1798,Manuális,141,104,12,Megkímélt,Benzin,93000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_tempomat-tolatokamera-93_000_km-16528538
175,HONDA CIVIC 1.8 Sport (Automata) Leinformálható !,3390000,2012,8.5,Fekete (metál),1798,Automata,141,104,11,Kitűnő,Benzin,105000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_automata_leinformalhato-16203745
176,HONDA CIVIC 1.4 Comfort csak 49698km!!!,3390000,2013,7.583000000000084,Sötétszürke (metál),1339,Manuális,99,73,10,Kitűnő,Benzin,49698,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_csak_49698km-16533168
178,HONDA CIVIC 1.6 i-DTEC Sport,3379000,2014,6.666000000000167,null,1597,Manuális,120,88,6,Kitűnő,Dízel,133000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_i-dtec_sport-16367657
179,HONDA CIVIC 1.8 Sport TEMPOMAT-KAMERA-SZ-KÖNYV-ÜLÉSFŰTÉS,3339000,2013,7.583000000000084,Piros (metál),1798,Manuális,141,104,12,Normál,Benzin,133000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_tempomat-kamera-sz-konyv-ulesfutes-16548206
180,HONDA CIVIC 2.2 CTDi Executive SZERVÍZKÖNYV.RITKASÁG.FIX ÁRON.VALÓDI EXECUTIVE!SÉRÜLÉS MENTES ÁLLAPOTBAN!BIXENO,3299000,2012,8,Fehér (metál),2199,Manuális,150,110,10,Sérülésmentes,Dízel,97000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_2_2_ctdi_executive_szervizkonyv_ritkasag_fix_aron_valodi_executiveserules_mentes_allapotbanbixeno-13773764
181,HONDA CIVIC 1.8 Sport 115.000KM!!!NAVIGÁCIÓ!!!TOLATÓKAMERA!!!,3299000,2012,7.833000000000084,null,1798,Manuális,141,104,10,Normál,Benzin,115000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_115_000kmnavigaciotolatokamera-16494785
182,HONDA CIVIC 1.8 Executive,3290000,2012,8.583000000000084,null,1798,Manuális,141,104,6,Normál,Benzin,136372,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_executive-16395937
183,HONDA CIVIC 1.4 Sport SZERV.KÖNYV-SÉRÜLÉSM-98eKM,3290000,2013,7.083000000000084,Fekete (metál),1339,Manuális,99,73,12,Kitűnő,Benzin,98734,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport_szerv_konyv-serulesm-98ekm-16529155
184,HONDA CIVIC 1.4 Comfort,3200000,2012,8.5,Fehér,1339,Manuális,99,73,6,Normál,Benzin,75000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16443976
185,HONDA CIVIC 1.6 i-DTEC Sport,3199000,2014,6.083000000000084,Fekete,1597,Manuális,120,88,6,Újszerű,Dízel,178000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_i-dtec_sport-16200715
186,HONDA CIVIC 1.8 Sport 50 Years Edition,3199000,2011,9.25,Piros,1799,Manuális,140,103,12,Újszerű,Benzin,119330,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_50_years_edition-16490135
187,HONDA CIVIC 1.4 Comfort Plus Szervízkönyv. Magyarországi,3190000,2014,6.416000000000167,Barna (metál),1339,Manuális,99,73,12,Normál,Benzin,99000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort_plus_szervizkonyv_magyarorszagi-16517978
188,HONDA CIVIC 1.8 Sport Magyar Egy Tulaj Szép!,3190000,2012,8.083000000000084,Fehér (metál),1798,Manuális,141,104,12,Kitűnő,Benzin,165000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_8_sport_magyar_egy_tulaj_szep-16557934
189,HONDA CIVIC 1.6 CTDi Lifestyle,3188000,2014,6.666000000000167,Fekete (metál),1597,Manuális,120,88,6,Normál,Dízel,204000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_6_ctdi_lifestyle-16498413
190,HONDA CIVIC 2.2 CTDi Lifestyle FK3,3160000,2013,7.333000000000084,Fekete,2199,Manuális,150,110,6,Kitűnő,Dízel,198000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_2_2_ctdi_lifestyle_fk3-16303467
191,HONDA CIVIC 1.4 Comfort,3149000,2013,7.416000000000167,Piros,1339,Manuális,99,73,7,Sérülésmentes,Benzin,99345,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-16430036
192,HONDA CIVIC Civic 1.4i VTEC Comfort 100LE - 97960km!!!,8500,2012,8.5,Fehér (metál),1339,Manuális,99,73,6,Kitűnő,Benzin,97960,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_civic_1_4i_vtec_comfort_100le_-_97960km-16260572
193,HONDA CIVIC 1.4 Sport,3090000,2013,7.5,Piros,1339,Manuális,99,73,6,Újszerű,Benzin,142000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_sport-16410693
194,HONDA CIVIC 1.4 Comfort,3000000,2012,7.833000000000084,Fehér,1339,Manuális,99,73,6,Újszerű,Benzin,66000,https://www.hasznaltauto.hu/szemelyauto/honda/civic/honda_civic_1_4_comfort-15690836
